track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature,lyrics_language,lyrics_love_occurrences,lyrics_polarity,lyrics_subjectivity,lyrics_joy,lyrics_sadness,lyrics_optimism,lyrics_anger,love_occurrences
The Closest Thing to Crazy,Katie Melua,Call Off The Search,2004-11-03,251440,26,uk pop,0.555,0.207,0.11,0.849,0.000871,0.0989,0.0305,127.788,1,-12.899,4,en,,0.11666666666666667,0.6666666666666669,2.766798250377178,8.682485669851303,79.76981997489929,8.780886977910995,1
I'll Be Waiting,Lenny Kravitz,It Is Time For A Love Revolution,2008-02-05,259186,50,permanent wave,0.677,0.452,0.595,0.0736,0.0065,0.0969,0.0332,72.779,1,-6.468,4,en,,0.12773109243697484,0.4806722689075631,4.049572721123695,38.15774619579315,21.217215061187744,36.57546937465668,3
MELODIA,VADO MAS KI AS & IVANDRO,Melodia,2024-11-07,175586,40,hip hop tuga,0.723,0.724,0.652,0.0711,0.0,0.0708,0.257,93.024,1,-6.361,4,pt,,0.19276556776556777,0.5838522588522588,7.453307136893272,6.272846460342407,75.7207065820694,10.553137212991714,12
Versace on the Floor,Bruno Mars,24K Magic,2016-11-17,261240,79,dance pop,0.578,0.574,0.301,0.196,0.0,0.083,0.0454,174.152,1,-6.209,4,en,,0.14249084249084248,0.4514652014652014,5.392189510166645,6.175237521529198,79.0431022644043,9.389474987983704,2
I`LL BE OVER YOU,TOTO,Fahrenheit,1986-08-01,229880,69,album rock,0.515,0.277,0.413,0.062,0.0,0.258,0.0255,82.167,1,-17.85,4,en,,0.14659090909090908,0.40625,3.9220746606588364,27.99665331840515,7.264827936887741,60.81644296646118,1
STUCK ON YOU,LIONEL RICHIE,Can't Slow Down,1983-01-01,195133,56,soft rock,0.522,0.346,0.27,0.258,0.0,0.114,0.0297,131.692,1,-15.462,4,en,,0.14305555555555555,0.6553418803418805,2.890838496387005,35.38016676902771,13.840405642986298,47.888585925102234,0
Moral of the Story,Ashe,Ashlyn,2021-05-07,201016,75,alt z,0.569,0.403,0.269,0.593,4.49e-6,0.102,0.0439,119.819,1,-8.618,4,en,,0.23977272727272728,0.4856060606060606,4.149570316076279,14.133448526263237,50.3035306930542,31.413458287715912,8
Alma Nua,Van Zee ,do.mar,2023-12-01,205637,55,hip hop tuga,0.741,0.401,0.622,0.811,3.13e-6,0.106,0.283,75.974,0,-5.749,4,pt,,0.1605355884425652,0.5029069767441858,5.783269368112087,7.182025164365768,74.97074007987976,12.06396073102951,1
Si Tu Novio Te Deja Sola,J Balvin ,Si Tu Novio Te Deja Sola,2017-03-03,243560,73,reggaeton,0.718,0.46,0.52,0.519,0.0,0.0981,0.0711,121.927,0,-9.498,4,es,,-0.18743469174503652,0.6389498432601881,7.380797217289607,5.73015014330546,79.5472284158071,7.341830804944038,1
WITHOUT YOU,MARIAH CAREY,Music Box,1993-08-31,215110,68,dance pop,0.603,0.407,0.166,0.378,1.15e-6,0.0529,0.0314,121.96,1,-11.667,4,en,,0.17409090909090902,0.505,4.225805774331093,85.22388339042664,2.235613204538822,8.314699679613113,0
Kooda,6ix9ine ,Day69: Graduation Day,2018-04-10,142582,57,emo rap,0.889,0.626,0.193,0.187,0.0,0.218,0.347,91.196,1,-4.666,4,en,,-0.1204656862745098,0.5306372549019608,80.73638081550598,3.3135424368083477,10.917212069034576,5.032866448163986,0
HOME,MICHAEL BUBLE,It's Time,2005-02-07,225906,61,adult standards,0.608,0.37,0.349,0.844,0.0000187,0.112,0.0306,127.631,1,-9.207,4,en,,0.10107142857142856,0.5044047619047619,1.6260240226984024,79.39454913139343,11.89088523387909,7.088539749383926,0
Mama Ta Xinti,Julinho Ksd,Sabi na Sabura,2021-09-24,181874,35,hip hop tuga,0.733,0.554,0.518,0.569,0.000525,0.0952,0.427,96.2,0,-9.542,4,pt,,0.15331576635924463,0.5118686868686868,13.919830694794655,9.072025865316391,60.14915704727173,16.858990490436554,0
OVER YOU,OFENBACH feat. JUSTIN JESSO,Over You (feat. Justin Jesso),2024-11-08,173922,53,pop dance,0.746,0.753,0.848,0.00435,2.07e-6,0.06,0.234,115.865,0,-4.667,4,unknown,0,,,,,,,
To Die For,Sam Smith,To Die For,2020-02-14,193795,58,pop,0.482,0.361,0.306,0.832,4.28e-6,0.098,0.0747,171.665,1,-7.889,4,en,,0.0716931216931217,0.45767195767195773,4.749670624732971,18.80316138267517,56.222331523895264,20.224830508232117,0
Come Away with Me,Norah Jones,Come Away With Me (Super Deluxe Edition),2002-02-26,198226,71,contemporary vocal jazz,0.436,0.141,0.146,0.902,2.81e-6,0.126,0.0308,76.64,1,-13.271,3,en,,0.3666666666666667,0.48333333333333334,3.7928227335214615,7.119623571634293,53.50391864776611,35.58363318443298,0
